Nom,URL,image,Description,Adresse,Téléphone,Accès,Site,Twitter,Facebook,LinkedIn,Meta Title,Meta Description,Meta Title Length Less Than 150,Date de publication
PLANET COWORKING : Espace de coworking Le Conan Doyle à Paris (75011),https://www.leportagesalarial.com/coworking/planet-coworking-espace-coworking-paris-75011/,https://www.leportagesalarial.com/wp-content/uploads/2017/11/sans-titre-2-1024x684.jpg,"Planet coworking est un espace de coworking situé dans le 11ème arrondissement de Paris, métro Philippe Auguste. Voici sa description.","119 rue du Chemin Vert, 75011 Paris",07 64 50 05 55,Métro Rue Saint-Maur (ligne 3),http://www.planet-coworking.com,,https://www.facebook.com/Teamplanetcoworking/,,PLANET COWORKING : Espace de coworking à Paris (75011) | Le Journal du portage salarial,"Planet coworking est un espace de coworking situé dans le 11ème arrondissement de Paris, métro Philippe Auguste. Voici sa description.",TRUE,
Grand Tour : Espace de coworking à Paris (75011),https://www.leportagesalarial.com/coworking/grand-tour-espace-de-coworking-a-paris-75011/,https://www.leportagesalarial.com/wp-content/uploads/2018/03/Grand-Tour-Accueil.png,"Grand Tour est un espace de coworking et une pépinière/incubateur de tourisme. Il propose différents espaces de travail en open space, lieu d'événements, d'innovations et d'échanges.","30 rue des 3 Bornes, 75011 Paris",01 48 06 85 22,"Métro Parmentier ( ligne 3), Couronnes (ligne 2)",www.grandtour.paris,https://twitter.com/GrandTourParis,https://www.facebook.com/GrandTourParis/,,Grand Tour : Espace de coworking à Paris (75011),"Grand Tour est un espace de coworking et une pépinière/incubateur de tourisme. Il propose différents espaces de travail en open space, lieu d'événements, d'innovations et d'échanges.",TRUE,
La Cordée : Espace de coworking à Paris (75012),https://www.leportagesalarial.com/coworking/la-cordee-espace-coworking-paris-75012/,https://www.leportagesalarial.com/wp-content/uploads/2017/07/la-cordee-espace-coworking-paris-gare-de-lyon.jpg,"La Cordée est un espace de coworking situé en plein cœur de Paris, dans le 12ème arrondissement, à quelques pas de la Gare de Lyon.","61 rue Traversière, 75 012 Paris",01 81 29 47 90,"Gare de Lyon (Lignes 1 et 14, RER A) et Ledru-Rollin (Ligne 8)",https://www.la-cordee.net/cordee/paris/paris-gare-de-lyon/,https://twitter.com/La_Cordee,https://www.facebook.com/lacordee.lyon/,,La Cordée : Espace de Coworking à Paris (75012) | Le Journal du portage salarial,"La Cordée est un espace de coworking situé en plein cœur de Paris, dans le 12ème arrondissement, à quelques pas de la Gare de Lyon.",TRUE,
LYDD Consulting : Espace de coworking à Paris (75012),https://www.leportagesalarial.com/coworking/lydd-consulting-espace-coworking-paris-75012/,https://www.leportagesalarial.com/wp-content/uploads/2017/08/lydd-consulting-espace-coworking-paris-75012.jpg,LYDD Consulting est le premier espace de coworking associé à une assistance administrative. Voici sa description détaillée.,51 rue Claude Decaen 75012 Paris,01 73 71 83 68,Métro Daumesnil (ligne 6 et 8),www.lyddconsulting.com/coworking,,https://www.facebook.com/lyddconsulting/,https://www.linkedin.com/in/dorotheecourteuge/,LYDD Consulting : Espace de coworking à Paris (75012) | Le Journal du portage salarial,LYDD Consulting est le premier espace de coworking associé à une assistance administrative. Voici sa description détaillée.,TRUE,
Digital Village : Espace de coworking à Paris (75013),https://www.leportagesalarial.com/coworking/digital-village-espace-coworking-paris-75013/,https://www.leportagesalarial.com/wp-content/uploads/2017/07/digital-village-espace-coworking-paris.jpg,"Digital Village est un espace de coworking spécialisé dans les métiers du digital, situé dans le 13ème arrondissement de Paris.","13 rue Vandrezanne, 75 013 Paris",06 20 85 50 62,"Métros Place d’Italie (lignes 5, 6, 7) et Tolbiac (ligne 7)",http://digital-village.fr/coworking/paris,https://twitter.com/dv_paris,https://www.facebook.com/digitalvillage.fr,https://www.linkedin.com/company-beta/3187195/,Digital Village : Espace de Coworking à Paris (75013) | Le Journal du portage salarial,"Digital Village est un espace de coworking spécialisé dans les métiers du digital, situé dans le 13ème arrondissement de Paris.",TRUE,
9GDM : Espace de coworking à Paris (75013),https://www.leportagesalarial.com/coworking/9gdm-espace-coworking-paris-75013/,https://www.leportagesalarial.com/wp-content/uploads/2017/07/9gdm-espace-coworking-paris-75013.jpg,"9GDM est un espace de coworking situé en plein cœur de Paris, dans le 13ème arrondissement. Il propose environ 40 postes équipés.","9 rue Guyton de Morveau, 75 013 Paris",01 84 19 50 47,,https://9gdm.com,https://twitter.com/9gdmparis,,,9GDM : Espace de coworking à Paris (75013) | Le Journal du portage salarial,"9GDM est un espace de coworking situé en plein cœur de Paris, dans le 13ème arrondissement. Il propose environ 40 postes équipés.",TRUE,
Mon premier bureau : Espace de coworking à Paris (75014),https://www.leportagesalarial.com/coworking/mon-premier-bureau-espace-coworking-paris-75014/,https://www.leportagesalarial.com/wp-content/uploads/2017/08/mon-premier-bureau-espace-coworking-paris-75014.jpg,"Mon premier bureau est un espace de coworking solidaire. Il est situé dans le 14ème arrondissement de Paris, proche du métro Alésia.","29 Rue Brézin, 75014 Paris",,Métro Alésia (ligne 4),http://www.monpremierbureau.org/,,,,Mon premier bureau : Espace de coworking à Paris (75014) | Le Journal du portage salarial,"Mon premier bureau est un espace de coworking solidaire. Il est situé dans le 14ème arrondissement de Paris, proche du métro Alésia.",TRUE,
We art from Paris : Espace de coworking à Paris (75015),https://www.leportagesalarial.com/coworking/we-art-from-paris-espace-coworking-paris-75015/,https://www.leportagesalarial.com/wp-content/uploads/2017/08/weartfromparis-espace-coworking-75015.jpg,"We art from Paris est le premier espace de coworking 100% artistique ! Il s’adresse aux artistes, aux créatifs et aux startups créatives.","40 rue Castagnary, 75015 Paris",06 82 56 82 11,Métro Plaisance (ligne 13),https://weartfromparis.com/,https://twitter.com/weartfromparis?lang=fr,https://www.facebook.com/weartfromparis/,,We art from Paris : Espace de coworking à Paris (75015) | Le Journal du portage salarial,"We art from Paris est le premier espace de coworking 100% artistique ! Il s’adresse aux artistes, aux créatifs et aux startups créatives.",TRUE,
Patchwork : Espace de coworking à Paris (75016),https://www.leportagesalarial.com/coworking/patchwork-espace-coworking-paris-75016/,https://www.leportagesalarial.com/wp-content/uploads/2017/08/patchwork-espace-coworking-75016-paris.jpg,"Patchwork est un espace de Coworking basé à Grande Armée, dans le 16ème arrondissement de Paris. Voici sa description.","10 rue Pergolèse, 75016 paris",01 42 21 15 44,Métro Porte Maillot (ligne 1),http://www.patchwork.co/,https://twitter.com/patchworkspace,https://www.facebook.com/patchwork.space,,Patchwork : Espace de coworking à Paris (75016) | Le Journal du portage salarial,"Patchwork est un espace de Coworking basé à Grande Armée, dans le 16ème arrondissement de Paris. Voici sa description.",TRUE,
The Place To… : Espace de coworking à Paris (75017),https://www.leportagesalarial.com/coworking/the-place-to-espace-de-coworking-a-paris-75017/,https://www.leportagesalarial.com/wp-content/uploads/2018/10/243091-300x150.jpg,"Présentation de The Place To... Le restaurant-bar The Place… to met à votre disposition ses espaces de Nomad working à la décoration industrielle, et aux ambiances variées. Venez travailler dans un cadre chaleureux et moderne, avec les commodités nécessaires : internet très haut débit, points de rechargement, photocopies et impressions, boissons, snacks et repas","47 avenue de Wagram, 75017, PARIS",0145747928,"Métro Charles de Gaulle Etoile (lignes 1, 2, 6, RER A), Métro Ternes (ligne 2)",www.theplaceto.paris,,www.facebook.com/theplaceto.wagram,,The Place To… : Espace de Coworking à Paris (75017) | Le Journal du portage salarial,"Présentation de The Place To... Le restaurant-bar The Place… to met à votre disposition ses espaces de Nomad working à la décoration industrielle, et aux ambiances variées. Venez travailler dans un cadre chaleureux et moderne, avec les commodités nécessaires : internet très haut débit, points de rechargement, photocopies et impressions, boissons, snacks et repas",TRUE,
Le Well Lab : Espace de coworking à Paris (75017),https://www.leportagesalarial.com/coworking/le-well-lab-espace-coworking-paris-75017/,https://www.leportagesalarial.com/wp-content/uploads/2017/11/welllab-salle-reunion.jpg,"Le Well Lab est un espace de coworking créé en 2017. Il est situé dans le 17ème arrondissement de Paris, proche du métro Ternes.","10 rue des Renaudes, 75017 Paris",01 44 09 96 78,Métro Ternes (ligne 2),http://www.lewelllab.fr/,https://twitter.com/julia_kalfon?lang=fr,https://www.facebook.com/Le-Well-Lab-143812892921818/,https://www.linkedin.com/company/le-well-lab/,Le Well Lab : Espace de coworking à Paris (75017) | Le Journal du portage salarial,"Le Well Lab est un espace de coworking créé en 2017. Il est situé dans le 17ème arrondissement de Paris, proche du métro Ternes.",TRUE,
Work In Paris : Espace de coworking à Paris (75017),https://www.leportagesalarial.com/coworking/work-in-paris-espace-coworking-paris-75017/,https://www.leportagesalarial.com/wp-content/uploads/2017/08/work-in-paris-espace-coworking-75017-paris.jpg,"Work In Paris Cardinet est un espace de coworking situé dans le 17ème arrondissement de Paris, dans le quartier des Batignolles. Voici sa description.","111 Rue Cardinet, 75017 Paris",01 85 09 38 60,Métro Malesherbes (ligne 3),http://www.workinparis.com/cardinet,https://twitter.com/WorkInParis,https://www.facebook.com/WorkInParis,,Work In Paris : Espace de coworking à Paris (75017) | Le Journal du portage salarial,"Work In Paris Cardinet est un espace de coworking situé dans le 17ème arrondissement de Paris, dans le quartier des Batignolles. Voici sa description.",TRUE,
SPLIT Coworking : Espace de coworking à Paris (75018),https://www.leportagesalarial.com/coworking/split-coworking-espace-coworking-paris-75018/,https://www.leportagesalarial.com/wp-content/uploads/2017/06/split-coworking.jpg,SPLIT Coworking est un espace de coworking situé dans le 18ème arrondissement de Paris. Il offre un espace de 230 m².,"3 rue Stephenson, 75 018 Paris",01 81 51 66 84,Métro La Chapelle (Ligne 2) ou Barbès – Rochechouart (Lignes 2 et 4),http://split-coworking.fr/,https://twitter.com/splitcoworking,https://www.facebook.com/splitcoworking/,,SPLIT Coworking : Espace de coworking à Paris (75018) | Le Journal du portage salarial,SPLIT Coworking est un espace de coworking situé dans le 18ème arrondissement de Paris. Il offre un espace de 230 m².,TRUE,
Le Laptop : Espace de coworking à Paris (75019),https://www.leportagesalarial.com/coworking/le-laptop-espace-coworking-paris-75019/,https://www.leportagesalarial.com/wp-content/uploads/2017/07/espace-coworking-le-laptop.jpg,Le Laptop est un espace de coworking situé dans le 19ème arrondissement parisien. Voici une présentation de cet espace de coworking.,"6 rue Arthur Rozier, 75019 Paris",01 77 16 65 24,Métro Place des fêtes,https://www.lelaptop.com/,https://twitter.com/Le_Laptop,https://www.facebook.com/LeLaptop,,Le Laptop : Espace de coworking à Paris 19 | Le Journal du portage salarial,Le Laptop est un espace de coworking situé dans le 19ème arrondissement parisien. Voici une présentation de cet espace de coworking.,TRUE,
Mutinerie : Espace de coworking à Paris (75019),https://www.leportagesalarial.com/coworking/mutinerie-espace-coworking-paris-75019/,https://www.leportagesalarial.com/wp-content/uploads/2017/08/mutinerie-espace-coworking-paris-75019.jpeg,"Mutinerie est un espace de coworking crée en 2012. Il est basé à Paris, dans le 19ème. Il regroupe une communauté unique et bienveillante de talents.","29 rue de Meaux, 75019 Paris",09 81 74 92 00,Métro Bolivar (ligne 7 bis) ou Colonel Fabien (ligne 2),http://coworking.mutinerie.org/,https://twitter.com/mutineriecrew,https://www.facebook.com/mutinerie.coworking/,,Mutinerie : Espace de coworking à Paris (75019) | Le Journal du portage salarial,"Mutinerie est un espace de coworking crée en 2012. Il est basé à Paris, dans le 19ème. Il regroupe une communauté unique et bienveillante de talents.",TRUE,
VOLUMES coworking : Espace de coworking à Paris (75019),https://www.leportagesalarial.com/coworking/volumes-coworking-espace-coworking-paris-75019/,https://www.leportagesalarial.com/wp-content/uploads/2017/08/volumes-coworking.jpg,VOLUMES coworking est un espace de coworking situé dans le 19ème arrondissement de Paris. Voici sa description.,"78 Rue Compans, 75019 Paris",07 68 64 61 62,Métro Botzaris (ligne 7 bis) ou Place des Fêtes (ligne 11),www.volumesparis.org,https://twitter.com/wevolumes,https://www.facebook.com/volumesparis/,,VOLUMES coworking : Espace de coworking à Paris (75019) | Le Journal du portage salarial,VOLUMES coworking est un espace de coworking situé dans le 19ème arrondissement de Paris. Voici sa description.,TRUE,
WoMa : Espace de coworking à Paris (75019),https://www.leportagesalarial.com/coworking/woma-espace-coworking-paris-75019/,https://www.leportagesalarial.com/wp-content/uploads/2017/07/espace-coworking-woma-75019-paris.jpg,WoMa est un espace de coworking situé dans le 19ème arrondissement de Paris. Voici sa description.,"15 bis rue Léon Giraud, 75019 Paris",01 40 18 59 21,Métro Ourcq (Ligne 5),www.woma.fr,https://twitter.com/woma_paris,https://www.facebook.com/WoMa.Paris/,,WoMa : Espace de coworking à Paris (75019) | Le Journal du portage salarial,WoMa est un espace de coworking situé dans le 19ème arrondissement de Paris. Voici sa description.,TRUE,
La Ruche : Espace de coworking à Paris (75020),https://www.leportagesalarial.com/coworking/la-ruche-espace-coworking-paris-75020/,https://www.leportagesalarial.com/wp-content/uploads/2017/08/la-ruche-espace-coworking-75020.jpg,"La Ruche est un espace de coworking situé dans le 20ème arrondissement de Paris, à proximité du métro Pyrénées. Voici a description.","24 Rue de l’Est, 75020 Paris",01 83 64 59 04,Métro Pyrénées (ligne 11),http://la-ruche.net/,,https://www.facebook.com/larucheaparis/,,La Ruche : Espace de coworking à Paris (75020) | Le Journal du portage salarial,"La Ruche est un espace de coworking situé dans le 20ème arrondissement de Paris, à proximité du métro Pyrénées. Voici a description.",TRUE,
